batsman,bowler,venue,phase,recent_bat_form,bowler_wickets_last50,batsman_runs_vs_bowler_last50,bat_phase_rpb,bp_wicket_rate,predicted_prob_wicket
gaikwad,mark wood,"ma chidambaram stadium, chennai",powerplay,49.0,3.0,0.0,1.3271604938271604,0.07692307692307693,0.6183988
maxwell,mark wood,"m.chinnaswamy stadium, bengaluru",death,13.666666666666666,2.625,2.25,1.6774193548387097,0.15217391304347827,0.64769197
rabada,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,2.6666666666666665,3.0,0.0,1.0869565217391304,0.15217391304347827,0.8344008
conway,mark wood,"ma chidambaram stadium, chennai",powerplay,7.333333333333333,3.0,6.75,1.2313829787234043,0.07692307692307693,0.50621134
harpreet singh,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",middle,0.0,3.0,0.5,1.0,0.06666666666666667,0.75170654
karthik,mark wood,"m.chinnaswamy stadium, bengaluru",death,5.0,3.0,0.0,1.727034120734908,0.15217391304347827,0.634483
prithvi shaw,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",powerplay,9.666666666666666,5.0,0.0,1.4152249134948096,0.07692307692307693,0.69451284
sakariya,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,0.0,2.0,2.0,0.6666666666666666,0.15217391304347827,0.53875583
maxwell,mark wood,"m.chinnaswamy stadium, bengaluru",middle,13.666666666666666,4.666666666666667,2.3333333333333335,1.5157894736842106,0.06666666666666667,0.5352723
kohli,mark wood,"m.chinnaswamy stadium, bengaluru",powerplay,36.666666666666664,2.25,4.75,1.4065934065934067,0.07692307692307693,0.37348855
du plessis,mark wood,"m.chinnaswamy stadium, bengaluru",middle,40.333333333333336,4.0,8.666666666666666,1.3947939262472886,0.06666666666666667,0.48379412
harpreet singh,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",powerplay,0.0,2.0,2.0,1.0344827586206897,0.07692307692307693,0.6182743
axar,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,12.333333333333334,2.0,0.0,1.5777126099706744,0.15217391304347827,0.86408466
mukesh kumar,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,0.0,2.0,0.0,0.5,0.15217391304347827,0.7289077
harpreet brar,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",death,3.3333333333333335,2.3333333333333335,0.6666666666666666,1.357142857142857,0.15217391304347827,0.87918186
jadeja,mark wood,"ma chidambaram stadium, chennai",death,1.6666666666666667,2.6666666666666665,0.0,1.4341801385681296,0.15217391304347827,0.67272526
short,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",powerplay,18.5,2.6,2.8,1.2738095238095237,0.07692307692307693,0.49086764
du plessis,mark wood,"m.chinnaswamy stadium, bengaluru",powerplay,40.333333333333336,5.5,8.5,1.3782668500687758,0.07692307692307693,0.39352274
sarfaraz khan,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",middle,14.333333333333334,5.0,0.0,0.8947368421052632,0.06666666666666667,0.6954355
sarfaraz khan,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",powerplay,14.333333333333334,6.0,0.0,1.394736842105263,0.07692307692307693,0.6006794
mitchell marsh,mark wood,"bharat ratna shri atal bihari vajpayee ekana cricket stadium, lucknow",powerplay,50.666666666666664,6.0,0.0,1.4550561797752808,0.07692307692307693,0.49488935
tilak varma,markande,"rajiv gandhi international stadium, hyderabad",middle,31.22222222222222,2.0555555555555554,18.5,1.2791411042944785,0.0471976401179941,0.24077843
conway,markande,"ma chidambaram stadium, chennai",middle,44.333333333333336,2.1666666666666665,8.833333333333334,1.4137931034482758,0.0471976401179941,0.2765777
gaikwad,markande,"ma chidambaram stadium, chennai",middle,17.0,2.0,2.8333333333333335,1.3738938053097345,0.0471976401179941,0.49305186
naman dhir,markande,"rajiv gandhi international stadium, hyderabad",middle,20.0,0.0,0.5,1.4444444444444444,0.0471976401179941,0.6227856
shivam dube,markande,"rajiv gandhi international stadium, hyderabad",middle,34.333333333333336,0.4,5.2,1.342809364548495,0.0471976401179941,0.49166077
powell,markande,"wankhede stadium, mumbai",middle,24.0,2.2222222222222223,7.111111111111111,1.027027027027027,0.0471976401179941,0.3890246
tripathi,markande,"wankhede stadium, mumbai",middle,29.666666666666668,1.3333333333333333,1.6666666666666667,1.308868501529052,0.0471976401179941,0.408066
rahane,markande,"rajiv gandhi international stadium, hyderabad",middle,28.0,2.25,2.25,1.193029490616622,0.0471976401179941,0.5073885
conway,markande,"ma chidambaram stadium, chennai",death,44.333333333333336,2.1666666666666665,7.5,1.6767676767676767,0.06666666666666667,0.532476
samson,markande,"sawai mansingh stadium, jaipur",death,20.333333333333332,0.0,2.0,1.7852760736196318,0.06666666666666667,0.40659872
buttler,markande,"sawai mansingh stadium, jaipur",death,17.666666666666668,1.3333333333333333,0.6666666666666666,1.9828178694158076,0.06666666666666667,0.4109859
de kock,markande,"rajiv gandhi international stadium, hyderabad",middle,72.0,1.8333333333333333,6.166666666666667,1.3127413127413128,0.0471976401179941,0.6190219
rayudu,markande,"ma chidambaram stadium, chennai",death,11.666666666666666,1.75,0.5,1.505050505050505,0.06666666666666667,0.654323
priyam garg,markande,"wankhede stadium, mumbai",middle,0.0,2.125,7.5,1.5625,0.0471976401179941,0.3227815
prerak mankad,markande,"rajiv gandhi international stadium, hyderabad",middle,4.0,2.625,4.0,1.3333333333333333,0.0471976401179941,0.527529
rahane,markande,"ma chidambaram stadium, chennai",death,43.0,2.5,1.0,2.3,0.06666666666666667,0.72890216
sarfaraz khan,markande,"rajiv gandhi international stadium, hyderabad",middle,14.666666666666666,3.0,1.0,0.8947368421052632,0.0471976401179941,0.59677404
warner,markande,"rajiv gandhi international stadium, hyderabad",middle,42.333333333333336,2.75,2.25,1.2613240418118468,0.0471976401179941,0.56820565
pant,markande,"wankhede stadium, mumbai",middle,13.666666666666666,2.0,8.5,1.3107221006564551,0.0471976401179941,0.35318166
stoinis,markande,"rajiv gandhi international stadium, hyderabad",middle,7.666666666666667,2.5,3.75,1.3180428134556574,0.0471976401179941,0.41823968
karthik,markande,"m.chinnaswamy stadium, bengaluru",middle,25.666666666666668,1.4285714285714286,6.428571428571429,1.2897196261682242,0.0471976401179941,0.3664451
gaikwad,markande,"rajiv gandhi international stadium, hyderabad",middle,20.666666666666668,2.6666666666666665,7.0,1.3738938053097345,0.0471976401179941,0.39790687
russell,markande,"eden gardens, kolkata",death,6.333333333333333,1.5,8.0,1.6768802228412258,0.06666666666666667,0.4927641
russell,markande,"eden gardens, kolkata",middle,10.866666666666665,4.4,21.2,1.3904382470119523,0.0471976401179941,0.39277983
philip salt,markande,"eden gardens, kolkata",middle,13.666666666666666,2.6666666666666665,4.777777777777778,1.7033898305084745,0.0471976401179941,0.49406224
rinku singh,markande,"eden gardens, kolkata",middle,35.916666666666664,2.5,5.75,1.1140939597315436,0.0471976401179941,0.45663217
ramandeep singh,markande,"eden gardens, kolkata",middle,13.0,1.8,2.8,1.2238805970149254,0.0471976401179941,0.47197
manish pandey,markande,"arun jaitley stadium, delhi",middle,35.0,1.0,0.5,1.1415094339622642,0.0471976401179941,0.6409205
mitchell marsh,markande,"arun jaitley stadium, delhi",middle,9.0,2.111111111111111,3.111111111111111,1.4316770186335404,0.0471976401179941,0.43003824
priyam garg,markande,"arun jaitley stadium, delhi",death,23.0,1.0,13.5,1.5,0.06666666666666667,0.3638292
sarfaraz khan,markande,"arun jaitley stadium, delhi",death,14.666666666666666,1.3333333333333333,1.3333333333333333,1.1111111111111112,0.06666666666666667,0.5054602
nitish rana,markande,"eden gardens, kolkata",middle,24.277777777777775,2.8333333333333335,4.833333333333333,1.3793103448275863,0.0471976401179941,0.5083595
axar,markande,"arun jaitley stadium, delhi",death,24.666666666666668,2.0,0.0,1.5777126099706744,0.06666666666666667,0.54758877
philip salt,markande,"arun jaitley stadium, delhi",middle,2.5,1.8571428571428572,12.857142857142858,1.7033898305084745,0.0471976401179941,0.48393115
russell,markande,"rajiv gandhi international stadium, hyderabad",death,14.666666666666666,4.5,18.0,1.6768802228412256,0.06666666666666667,0.53817415
n jagadeesan,markande,"eden gardens, kolkata",middle,15.333333333333334,4.0,4.285714285714286,1.0232558139534884,0.0471976401179941,0.51907855
rinku singh,markande,"rajiv gandhi international stadium, hyderabad",middle,30.0,4.8,6.8,1.1140939597315436,0.0471976401179941,0.45165488
russell,markande,"rajiv gandhi international stadium, hyderabad",middle,14.666666666666666,5.0,20.25,1.3904382470119523,0.0471976401179941,0.37182084
nitish rana,markande,"rajiv gandhi international stadium, hyderabad",middle,26.333333333333332,5.0,2.6666666666666665,1.3793103448275863,0.0471976401179941,0.42278346
narine,markande,"rajiv gandhi international stadium, hyderabad",death,2.0,4.0,0.0,1.6595744680851063,0.06666666666666667,0.7040793
rinku singh,markande,"rajiv gandhi international stadium, hyderabad",death,30.0,5.142857142857143,12.857142857142858,1.6855670103092784,0.06666666666666667,0.37993574
thakur,markande,"rajiv gandhi international stadium, hyderabad",death,8.333333333333334,6.0,0.5,1.364864864864865,0.06666666666666667,0.4528457
rajat patidar,markande,"rajiv gandhi international stadium, hyderabad",middle,37.0,4.3,17.4,1.5661252900232019,0.0471976401179941,0.40167984
kohli,markande,"rajiv gandhi international stadium, hyderabad",middle,21.0,3.5,2.3333333333333335,1.2521126760563381,0.0471976401179941,0.4407979
du plessis,markande,"m.chinnaswamy stadium, bengaluru",middle,41.333333333333336,2.5,1.5,1.3947939262472886,0.0471976401179941,0.5226779
kohli,markande,"m.chinnaswamy stadium, bengaluru",middle,46.0,2.0,3.0,1.2521126760563381,0.0471976401179941,0.5628437
will jacks,markande,"m.chinnaswamy stadium, bengaluru",middle,8.0,3.0,0.5,1.3251533742331287,0.0471976401179941,0.5569955
pooran,markande,"wankhede stadium, mumbai",middle,27.666666666666668,3.0,2.25,1.62877030162413,0.0471976401179941,0.48772156
rajat patidar,markande,"m.chinnaswamy stadium, bengaluru",middle,27.333333333333332,1.1666666666666667,38.166666666666664,1.566125290023202,0.0471976401179941,0.43051907
lomror,markande,"m.chinnaswamy stadium, bengaluru",middle,16.666666666666668,1.7142857142857142,9.0,1.4742268041237114,0.0471976401179941,0.39650983
will jacks,markande,"rajiv gandhi international stadium, hyderabad",middle,23.333333333333332,1.6666666666666667,2.3333333333333335,1.3251533742331287,0.0471976401179941,0.5278192
samson,markande,"sawai mansingh stadium, jaipur",middle,20.333333333333332,2.125,21.375,1.3877887788778878,0.0471976401179941,0.37712497
ishan kishan,markande,"rajiv gandhi international stadium, hyderabad",middle,40.333333333333336,2.0,4.428571428571429,1.2783505154639176,0.0471976401179941,0.56666905
