batter,bowler,balls_faced,runs_scored,dismissals,innings_faced,strike_rate
Ayush Badoni,Hardik Pandya,14,20,1,4,142.8571429
Ayush Badoni,Harpreet Brar,3,2,0,1,66.66666667
Ayush Badoni,Harshal Patel,6,5,0,2,83.33333333
Ayush Badoni,Harshit Rana,7,7,0,1,100
Ayush Badoni,Hasaranga,13,14,0,2,107.6923077
Ayush Badoni,Hazlewood,9,3,2,2,33.33333333
Ayush Badoni,Holder,1,0,0,1,0
Ayush Badoni,Ishant,9,10,0,2,111.1111111
Ayush Badoni,Jadeja,10,9,1,3,90
Ayush Badoni,Jamie Overton,5,13,0,1,260
Ayush Badoni,Karn Sharma,12,28,0,2,233.3333333
Ayush Badoni,Khaleel Ahmed,5,12,0,2,240
Ayush Badoni,Kuldeep Sen,2,2,0,1,100
Ayush Badoni,Kuldeep Yadav,14,13,1,4,92.85714286
Ayush Badoni,Livingstone,2,6,1,1,300
Ayush Badoni,Marco Jansen,13,16,0,2,123.0769231
Ayush Badoni,Maxwell,6,5,0,3,83.33333333
Ayush Badoni,Meredith,4,9,1,1,225
Ayush Badoni,Mitchell Starc,4,7,0,2,175
Ayush Badoni,Moeen Ali,7,6,0,2,85.71428571
Ayush Badoni,Mohit Sharma,12,23,1,3,191.6666667
Ayush Badoni,Mukesh Choudhary,3,7,0,1,233.3333333
Ayush Badoni,Mukesh Kumar,24,43,1,3,179.1666667
Ayush Badoni,N Thushara,3,4,0,1,133.3333333
Ayush Badoni,Nandre Burger,1,0,1,1,0
Ayush Badoni,Narine,30,30,3,4,100
Ayush Badoni,Noor Ahmad,6,7,0,3,116.6666667
Ayush Badoni,Parnell,5,7,1,1,140
Ayush Badoni,Pathirana,11,10,0,2,90.90909091
Ayush Badoni,Prasidh,5,2,0,1,40
Ayush Badoni,RS Hangargekar,3,5,0,1,166.6666667
Ayush Badoni,Rabada,8,8,1,2,100
Ayush Badoni,Rahul Chahar,9,12,0,1,133.3333333
Ayush Badoni,Rashid Khan,27,28,1,4,103.7037037
Ayush Badoni,Russell,13,22,0,2,169.2307692
Ayush Badoni,Sai Kishore,4,11,1,2,275
Ayush Badoni,Sakariya,4,13,1,1,325
Ayush Badoni,Sam Curran,14,18,1,3,128.5714286
Ayush Badoni,Sandeep Sharma,12,21,0,2,175
Ayush Badoni,Santner,8,15,0,1,187.5
Ayush Badoni,Shami,11,16,0,3,145.4545455
Ayush Badoni,Shepherd,14,29,1,2,207.1428571
Ayush Badoni,Shivam Dube,2,7,0,1,350
Ayush Badoni,Shivam Mavi,1,1,0,1,100
